property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,Area Type,Area Size
Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,Marla,5.6
Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,Marla,6.2
Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,For Sale,1,Marla,3.1
Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Sale,2,Marla,4.0
Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Sale,3,Marla,5.3
House,265000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Rent,7,Kanal,2.0
House,18500000,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,0,For Sale,0,Marla,10.0
House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.12559399999999,6,For Sale,6,Kanal,1.6
House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,6,For Sale,6,Marla,10.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,8,For Sale,6,Kanal,1.0
House,9000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393000000001,4,For Sale,3,Marla,5.0
House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,8,For Sale,6,Kanal,1.0
House,23000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555594,73.133669,6,For Sale,5,Marla,12.0
House,39500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,7,For Sale,6,Kanal,1.0
House,21000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,Marla,10.0
House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,5,For Sale,5,Kanal,1.0
House,37000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,Kanal,1.0
House,37500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555451,73.13821800000001,7,For Sale,5,Kanal,1.0
Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,1,For Sale,1,Marla,3.8
House,35000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,5,For Sale,5,Kanal,1.0
Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550096,73.12381500000001,2,For Sale,2,Marla,5.5
House,12800000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.495991,73.100195,4,For Sale,4,Marla,7.0
House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,6,For Sale,5,Marla,10.0
House,38000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550623,73.123112,7,For Sale,6,Kanal,1.0
House,40000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.55892,73.118649,8,For Sale,7,Kanal,1.5
House,6000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.498497,73.101182,2,For Sale,2,Marla,5.0
House,200000,Adiala Road,Rawalpindi,Punjab,33.550869,73.05618199999999,8,For Rent,8,Kanal,2.5
House,110000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,7,For Rent,6,Kanal,1.0
House,60000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.13053599999999,6,For Rent,5,Marla,10.0
House,70000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.531951,73.115215,5,For Rent,5,Marla,10.0
Flat,22000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.521053,73.10775600000001,2,For Rent,2,Marla,2.4
House,71000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.550408000000004,73.115473,9,For Rent,9,Marla,10.0
Flat,25000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.573152,73.110881,1,For Rent,1,Marla,2.2
House,35000000,Gulistan-e-Jauhar,Karachi,Sindh,24.914987564087,67.138702392578,8,For Sale,6,Marla,16.0
Flat,4500000,Gulistan-e-Jauhar,Karachi,Sindh,24.924636,67.141903,2,For Sale,2,Marla,4.8
House,30000000,Bahria Town,Islamabad,Islamabad Capital,33.695972999999995,73.215615,7,For Sale,6,Marla,10.0
House,21000000,Bahria Town,Islamabad,Islamabad Capital,33.550837268049,73.10628890991201,6,For Sale,5,Marla,10.0
